DFF,DFR,Altitude,Draw_D,Drain_D,LS,Lineam_D,MRVBF,MRRTF,LULC,SCA,Prifile_C,Plan_C,TRI,SPI,Slope,TWI,TPI,litho_recl,geomorph_R,grid_code,well_M
5.1448,4.33757,168,2.29273,1.57705,0.03001,0.80082,6.97978,3.98275,5,116.58441,0,0,0.63246,0,0,7.37085,-1.08108,1,4,3.39,3
5.16706,4.22095,169,2.2891,1.57937,0.45612,0.79398,6.97684,3.99001,2,17.26899,-0.00222,0,0.89443,55.98178,0.03332,7.41154,-1.32432,1,4,3.39,3
5.16871,4.2508,169,2.28961,1.57858,0.89272,0.79518,6.9554,3.97016,2,14.09096,-0.00419,-0.0328,2,145.97943,0.0744,6.82377,-1.05405,1,4,3.39,3
5.17054,4.28065,171,2.29014,1.57775,0.67361,0.79637,6.95805,3.96636,5,11.71573,-0.00111,0.08889,1.61245,56.40381,0.04996,6.97177,1.40541,1,4,3.39,3
5.17254,4.31051,169,2.29068,1.57692,0.68181,0.79755,6.96938,3.96886,5,63.94437,-0.00111,0,1,73.36621,0.04996,7.05171,-0.27027,1,4,3.39,3
5.17472,4.34037,168,2.29122,1.57609,0.29826,0.79872,6.97921,3.97721,2,372.61725,-0.00167,-0.02357,0.63246,69.51989,0.02357,7.34971,-0.78378,1,4,3.39,3
18.47221,5.43894,181,2.15145,0.903,0.8657,0.02558,6.93832,2.04122,2,11.71573,0.00198,0.06261,2,71.80013,0.0744,6.64946,2.89189,2,5,4.85,3
18.44493,5.42859,180,2.15273,0.88452,0.95051,0.02573,6.93057,2.66174,2,14.55844,0.00128,0.02453,1.73205,100.0572,0.08314,6.61197,1.72973,2,5,4.85,3
18.41765,5.41839,178,2.15399,0.88258,0.70991,0.02589,6.97672,3.36055,2,20.52253,-0.00179,0.01138,1.18322,110.22794,0.06002,6.87392,-0.45946,2,5,4.85,3
18.39039,5.40833,177,2.15524,0.88469,0.23571,0.02604,6.98753,3.86966,2,20.20004,-0.00111,0,0.44721,35.3499,0.01667,7.19932,-1.78378,2,5,4.85,3
18.36314,5.39842,177,2.15648,0.88631,0.45525,0.0262,6.98488,3.61163,2,39.18058,-0.00222,0,0.89443,53.76882,0.03332,6.9833,-1.91892,2,5,4.85,3
18.4847,5.41082,178,2.15032,0.9052,0.85046,0.02576,6.97623,2.1067,2,31.24366,-0.00162,0.00761,1.48324,89.21534,0.06861,6.78793,0,2,5,4.85,3
18.45744,5.40042,177,2.1516,0.88673,0.66132,0.02591,6.98264,3.37489,2,18.64774,-0.0036,-0.01581,1.41421,121.4786,0.05266,6.89246,-1.18919,2,5,4.85,3
18.43018,5.39016,177,2.15287,0.88267,0.23465,0.02607,6.98813,3.93991,2,22.92829,-0.00111,0,0.44721,31.40497,0.01667,7.22967,-1.56757,2,5,4.85,3
18.40294,5.38005,177,2.15413,0.88498,0.45936,0.02622,6.98341,3.46776,2,19.69326,-0.00333,0,1,80.52048,0.03725,6.87035,-1.83784,2,5,4.85,3
